,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
1344,1344,1560087354,The Modern Aurelius,Is he going to set out his white lines?,,[],hate_speech
3203,3203,1564845249,Neil Bower,Grovelling To The Racist PM Already I See,,[],hate_speech
4256,4256,1567469390,Andy Hyner,No-deal could kill Brexit altogether.,,[],hate_speech
4523,4523,1568110170,son of syd,This is not a pantomime  this is peoples life'spic.twitter.com/H02jMbTsNR,,[],hate_speech
4571,4571,1568196957,Anonymous,@NickyMorgan01 How can you sit on the front bench & add your name to this appalling behaviour Nicky? How can you? Treasury promising fags & booze cruises if we leave the EU! For godÂs sake woman. YouÂre an intelligent human being & you should have withdrawn your support by now.,,[],hate_speech
6673,6673,1573220760,Halcyon Ember,Why are you a hate group?,,[],hate_speech
