,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
1164,1264,1559096487,Just a Londoner,"So when your claiming your White Thumpers have Organized special laws, right alongside ""No Jew Shall Live""...",,[],hate_speech
1924,2101,1560694486,Mark McAndrew,"You can be a leaver without being racist.

You cannot support Britain's most famous racist without being racist.

Important distinction",,[],hate_speech
3189,3448,1563254904,Gavlaaaaaaa,"at some point Iain it goes beyond 'sparring  with Yasmin', it becomes 'Yasmin's racist show featuring some white people not putting up a fight'",,[],hate_speech
5884,6358,1568590935,Swingin_Dick,"Watching #hardtalk Disappointed in your 'white privilege' comment, is perfectly reasonable & totally non-racist to be anti a flood of migrants, be they of any colour, into your homeland. Yes to those in genuine need and danger but we cant have populations moving here",,['hardtalk'],hate_speech
