,Unnamed: 0,date,name,tweet,classofspeech
8,316,2019-06-04,Nicky Morgan,Eid Mubarak to all Loughborough constituents celebrating today pic.twitter.com/QvgRlcUkLa,offensive_language
47,383,2019-05-16,Nicky Morgan,Delighted to join you all https://twitter.com/awmackenzie/status/1128799142178906112Â â¦,offensive_language
49,354,2019-05-19,Nicky Morgan,So tempting!,offensive_language
52,272,2019-06-17,Nicky Morgan,#C4Debate #Gove4PM pic.twitter.com/L2o9XJleRJ,offensive_language
87,258,2019-06-19,Nicky Morgan,#Gove4PM pic.twitter.com/MUX0bAi8xJ,offensive_language
